Query,Clicks,Impressions,CTR,Position
large ceramic mugs,0,540,0%,8.94
boys tops,0,539,0%,7.7
bedside alarm clock,0,536,0%,9.95
kitchen gloves oven,0,533,0%,6.21
designer cosmetic bags,0,531,0%,6.64
men briefcase,0,530,0%,1.67
coffee mugs set,0,530,0%,7.25
mens leather bags uk,0,528,0%,1.84
kitchen oven gloves,0,527,0%,6.18
irons,0,527,0%,6.83
travel bag men,0,526,0%,9.54
knitting storage box,0,525,0%,3.39
women's wash bag,0,522,0%,1.89
laptop bags men,0,522,0%,2.4
messenger bags mens,0,521,0%,4.72
work bag for men,0,519,0%,3.69
big make up bag,0,519,0%,5.92
make.up.bag,0,517,0%,2.29
large sewing box with compartments,0,510,0%,10.3
leather man bags uk,0,509,0%,2.06
fancy cushions,0,509,0%,3.68
small wash bag,0,499,0%,2.98
small makeup case,0,499,0%,6.12
canvas makeup bag,0,498,0%,7.83
ladies vanity case,0,498,0%,8.78
boy shirts,0,497,0%,9.22
fold up makeup bag,0,495,0%,8.33
document bags,0,494,0%,3.4
square makeup bag,0,493,0%,6.29
wash bag set,0,490,0%,2.4
drawstring makeup bag boots,0,489,0%,9.81
mens briefcase leather,0,487,0%,1.71
lounge ceiling lights,0,487,0%,3.08
brass mirrors,0,487,0%,7.07
wine cooler fridge,0,487,0%,11.01
washbag womens,0,483,0%,9.43
office bags for men,0,482,0%,2.49
makeup storage bag,0,482,0%,9.43
stylish mugs,0,477,0%,4.29
leather messenger bags,0,476,0%,1.59
seeing box,0,476,0%,2.3
mens black briefcase,0,476,0%,3.38
women's makeup bags,0,476,0%,5.69
womens make up bags,0,474,0%,2.71
toiletry bag set,0,471,0%,7.18
make up bag designer,0,470,0%,4.8
john lewis sale mens,0,465,0%,1.01
men laptop bag,0,465,0%,1.88
big makeup bags,0,463,0%,5.91
leather bags men,0,462,0%,3.48
unique makeup bags,0,462,0%,9.51
john lewis girls dresses,0,460,0%,2.78
buy cushions,0,453,0%,4.1
small makeup bag for handbag,0,450,0%,3.78
laptop leather bags,0,450,0%,4.14
dior make up bag,0,449,0%,9.55
makeup bag with brush compartment,0,447,0%,10.07
next made to measure curtains,0,445,0%,9.2
small cosmetic bag,0,443,0%,4.7
outdoor side table,0,443,0%,10.1
big coffee mugs,0,443,0%,10.9
john lewis online sale,0,442,0%,2.02
teal coloured cushions,0,442,0%,10.33
black make up bag,0,441,0%,4.49
leather office bags,0,437,0%,4.78
make up bag sale,0,437,0%,8.23
travel wash bag,0,437,0%,9.84
set of 2 mugs,0,436,0%,3.58
wash bags for women,0,436,0%,4.24
single oven gloves,0,435,0%,5.81
small toiletry bag,0,435,0%,7.71
men's briefcase,0,431,0%,2.06
beauty bags,0,429,0%,4.96
single oven glove,0,428,0%,5.33
john lewis home accessories,0,427,0%,1
makeupbag,0,427,0%,4.85
